claim,label,language,source,url,verdict_raw
These are the US soldiers who were killed in Kabul airport attack.,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/afghanistan-kabul-bomb-explosion-us-soldiers-killed-fact-check-viral-photo-video-1846605-2021-08-29,Mostly false
These videos show the blast that killed Ali Larijani and his mother bidding her final farewell to him.,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/ali-larijani-death-videos-fake-ai-generated-old-unrelated-2888039-2026-03-27,False
This photo shows Atletico Madrid fans holding a gigantic flag of Palestine during a football match.,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/artificial-support-pic-of-soccer-fans-with-palestine-flag-is-ai-made-2452418-2023-10-23,False
A Kashmiri Muslim man has been invited to Bigg Boss season 13 and the show deliberately partnered him with a Brahmin woman to encourage &quot;Love Jihad&quot;.,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/bigg-boss-intimate-image-muslim-man-brahmin-woman-love-jihad-1606563-2019-10-05,Mostly false
"Fact Check news: Truth behind Fake News Images, Videos",MISLEADING,en,indiatoday,https://www.indiatoday.in/fact-check,Influencer Hub
US President Joe Biden announced a national draft for men and women to fight the war in Ukraine.,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/americans-are-not-being-conscripted-for-ukraine-war-deepfake-biden-video-goes-viral-2342322-2023-03-03,False
"Amid the Maharashtra political turmoil, Home Minister Amit Shah hit back at Uddhav Thackeray saying he will topple the Maha Vikas Aghadi government. ",FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/amit-shah-says-he-will-topple-thackeray-govt-amid-mla-rebellion-1966709-2022-06-25,Mostly false
Army jawans refuse to lathi-charge anti-Agnipath protesters.,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/agnipath-protests-viral-video-soldiers-refuse-lathi-charge-1964739-2022-06-20,Mostly false
A cathedral which survived both World Wars was burnt down by illegal immigrants during the recent violent protests following a police killing in France.,MISLEADING,en,indiatoday,https://www.indiatoday.in/fact-check/story/2020-church-fire-falsely-linked-to-violent-protests-in-france-fact-check-2401872-2023-07-04,Half true
Video is of police evicting people from their homes in Assam after NRC.,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/anti-encroachment-drive-jaipur-video-police-action-nrc-1638154-2020-01-18,False
"Just couple of days ahead of the launch of monsoon session, Congress President Rahul Gandhi's letter to PM Modi to ensure passage of Bill that provides 33 per cent reservation for women in Parliament and state assemblies raised the pitch over the issue. The ruling responded by asking BJP to return favour on triple talaq and nikah halala, the women reservation bill issue was trending on the social media. Our PM says hes a crusader for womens empowerment? Time for him to rise above party politics,",MISLEADING,en,indiatoday,https://www.indiatoday.in/fact-check/story/-fact-file-women-reservation-bill-mamta-didi-the-only-saviour-bjp-gave-only-8-ticket-to-women-candidates-congress-just-12-1289804-2018-07-19,Influencer Hub
"Hundreds of doctors had sued Bill Gates for a polio vaccine he created which disabled 47,000 children in India. This is why he was expelled from India.  ",FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/conspiracy-theory-bill-gates-backed-polio-vaccine-disabled-kids-1707666-2020-08-04,Mostly false
This image shows an app-based mobile drone toilet developed in China.,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/ai-pic-viral-chinese-app-based-mobile-drone-toilet-fake-midjourney-2389547-2023-06-06,False
"Normally, “fake news” is a deathly serious business. However, not all fake news stories have high stakes. Some were so absurd and bizarre that they just made us scratch our heads. These weird stories involved world leaders, witches, and even drinking one's own blood. Read at your own risk, these stories may make you question your sanity. advertisement ❮ ❯ Read Full Story A 'REAR' SIGHT When Ukraine’s President Volodymyr Zelenskyy visited the White House, US President Joe Biden grabbed his butt .",MISLEADING,en,indiatoday,https://www.indiatoday.in/fact-check/story/2022-in-rear-view-why-did-we-fact-check-these-most-wtf-stories-of-2022-2315609-2022-12-30,Influencer Hub
An Islamic organisation from Bangladesh announced monetary rewards for converting Hindu women to Islam. ,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/cash-for-conversion-no-this-notice-from-bangladeshi-islamic-group-is-fake-2523413-2024-04-04,False
This video shows Bollywood actor Alia Bhatt in a red saree. ,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/alia-bhatt-deepfake-face-of-actor-added-over-wamiqa-gabbi-photo-2536419-2024-05-07,False
 This video shows a rare phenomenon called ‘ball lightning’.,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/ball-of-lightning-created-using-adobe-after-effects-2322846-2023-01-17,False
A wall of Kolkata&#039;s &#039;Paribesh Bhawan&#039; building is full of air conditioners. ,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/air-conditioners-wall-kolkata-paribesh-bhawan-singapore-1619060-2019-11-14,Mostly false
A hoarding was installed in Kanpur by the AIMIM featuring beheaded Yati Narsinghanand and Wasim Rizvi. This was following Nupur Sharma’s comments on the Prophet Mohammed. ,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/aimim-kanpur-beheading-poster-has-no-connection-with-nupur-sharma-1970816-2022-07-06,Mostly false
"In a letter, Home Minister Amit Shah asked Uttarakhand CM Pushkar Singh Dhami to provide Z security to former BJP spokesperson Nupur Sharma’s family home in Dehradun. ",FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/amit-shah-2020-letter-template-for-fraud-claims-1963293-2022-06-16,False
Video of Hindus thrashing a Muslim family.,MISLEADING,en,indiatoday,https://www.indiatoday.in/fact-check/story/deo-of-man-being-thrashed-goes-viral-with-communal-spin-1700492-2020-07-14,Video of man being thrashed goes viral with communal spin
China is supplying Quran to people to read after the Coronavirus outbreak.,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/china-not-supplying-quran-as-antidote-coronavirus-1654559-2020-03-11,Mostly false
"Burj Khalifa in Dubai, the world&#039;s tallest building, lit up in the colours of the Israel flag after the historic pact between Israel and UAE.",FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/did-burj-khalifa-light-up-with-israeli-flag-after-historic-pact-with-uae-1711885-2020-08-16,Mostly false
"Picture shows college students in Alabama, United States, throwing 'Covid-19' parties to see who gets infected first.",MISLEADING,en,indiatoday,https://www.indiatoday.in/fact-check/story/covid-parties-may-be-happening-but-this-is-something-else-1700601-2020-07-14,"Covid parties may be happening, but this is something else!"
This video shows a recent public flogging of a woman in Afghanistan.,MISLEADING,en,indiatoday,https://www.indiatoday.in/fact-check/story/afghanistan-woman-public-flogging-video-viral-2308391-2022-12-12,Half true
A funeral home worker in New York was cremated by his co-worker accidentally while he was asleep.,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/do-not-believe-this-hoax-about-funeral-home-worker-cremated-alive-while-taking-nap-1666477-2020-04-13,False
Actress Nazifa Tushi tweeted about how she left Islam and converted to Hinduism.,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/bangladeshi-actress-nazifa-tushi-not-convert-hinduism-fake-twitter-2341829-2023-03-02,False
Images show fulgurites created on the seashore when lightning struck the sand. ,FALSE,en,indiatoday,https://www.indiatoday.in/fact-check/story/artwork-circulates-as-fulgurite-found-on-seashore-1870741-2021-10-28,False
