claim,label,language,source,url,verdict_raw
"A Facebook user named Dilip Singh posted the fake tweet and wrote “What Sehwag wrote is short and crisp”. The post is basically a text image that reads “सालाना जनता के करोड़ों रूपए सोखने वाले AMU और JNU से अच्छे  तो गांव-देहात के सरकारी स्कू ल हैं, जो फौजी पैदा करते हैं, गद्दार नहीं।” (English: The govt schools in villages are far better than the AMU and the JNU that consume crores of public money because the village schools produce soldiers and these Universities produce traitors.) The post was tweeted by an account @VirenderSehvag showing the photo of the legendry cricketer.",FALSE,hinglish,vishvas_news,https://www.vishvasnews.com/english/viral/fact-check-tweet-about-amu-and-jnu-going-viral-in-the-name-of-sehwag-is-fake/,The message going viral in the name of cricketer Virender Sehwag is fake. Sehwag never posted anything like this. The handle with which the post was tweeted has been deactivated.
"अशोक गहलोत कभी कभी ही सच बोलते हैं… pic.twitter.com/nAKTgCAFUC — Amit Malviya (@amitmalviya) January 8, 2019",MISLEADING,hinglish,vishvas_news,https://www.vishvasnews.com/english/politics/fact-check-gehlot-did-say-end-of-upa-govt-is-certain-but-it-was-a-slip-of-tongue/,": After analysing the full video, it’s apparent that Gehlot gave the briefing in his full senses and was not drunk. He simply confused UPA with NDA and it was clearly a slip of tongue."
"A description of the video reads: “A condolence meet is a joke, a photo opportunity for these politicians, watch for yourself. Paying ‘deferential obeisance’ to the army.” The video shows UP CM Yogi Adityanath laughing and chatting with other people while a coffin wrapped in the Indian flag is lying in front of them",MISLEADING,hi,vishvas_news,https://www.vishvasnews.com/english/politics/fact-check-old-video-of-up-cm-laughing-in-front-of-a-coffin-goes-viral-with-wrong-pretext/,"In our investigation we found that this video was shot on Oct 21, 2018 at the funeral of ND Tiwari. And now it is going viral on social media once again in the wrong pretext of Pulwama tragedy. The cl"
"The text on the picture read: “आ गए आपनी असलियत पे, भक्तो मार जाओ अब कहि जाके”, which translates to: “He has shown his real self, Bhakts, go and die somewhere now.” The post has been shared over 1,400 times and was liked by over 8,500 Facebook users.",FALSE,hinglish,vishvas_news,https://www.vishvasnews.com/english/politics/fact-check-pm-did-not-wave-pakistani-flag-the-viral-image-is-photoshopped/,": In our investigation, we found that the image being circulated is fake. Prime Minister Narendra Modi was showing the green flag to the train while he inaugurated the Bogibeel bridge in Assam."
"The video shows Sonia Gandhi meeting with Sri Lankan Prime Minister Ranil Wickremesinghe. In the video, Dr Manmohan Singh can be seen following Sonia Gandhi. Sonia Gandhi is sitting in front of Sri Lankan Prime Minister, while Manmohan is sitting by her side. The video caption says, “Once during Prime Ministership of #DrManMohanSingh, Srilankan PM came to India on diplomatic visit. Kindly watch this 👆video. Rest is left to your observation skills. (no politics behind)🙏 Good Night..”",MISLEADING,hi,vishvas_news,https://www.vishvasnews.com/english/politics/fact-check-manmohan-singh-was-not-indias-prime-minister-at-the-time-of-this-video/,"In our investigation, we found that the description of this video shared by Ashok Pandit is misleading. While shooting this video, Manmohan Singh was not the Prime Minister of the country."
"In the video being shared, this lady says, ” Hello everyone",MISLEADING,hi,vishvas_news,https://www.vishvasnews.com/english/politics/fact-check-the-woman-in-this-viral-video-isnt-wing-commander-abhinandans-wife/,In our investigation we found that the woman in the video that is going viral is not the wife of Wing Commander Abhinandan. The woman is actually the wife of an army officer and her name is Sirisha Ra
The message was in Hindi. The translation is “Add your,FALSE,hi,vishvas_news,https://www.vishvasnews.com/english/viral/fact-check-this-message-being-spread-in-the-name-of-pradhanmantri-awas-yojna-is-fake/,In our investigation we found that the message being shared is fake. This message is being spread to promote a mobile app. This message has nothing to do with the Prime Minister’s Housing Scheme.
The post was shared by a Facebook page called ‘Beware of,FALSE,hi,vishvas_news,https://www.vishvasnews.com/english/politics/fact-check-pm-modi-did-not-hire-a-make-up-artist-the-claim-is-false/,In our investigation we found that the post claiming that PM Modi has hired a make-up artist at a salary of Rs 15 lakh per month is fake.
"A huge stash of currency notes can be seen in the video. This video is 40 seconds long. According to the message posted along with the video, it is from an Income Tax raid at BJP MP Rajeev Chandrasekhar’s bungalow in Delhi. The message urges social media users to share this video to unmask the corrupt side of BJP. Also, Rajeev Chandrasekhar’s has been misspelled as, ‘Rajiv Chandrasheher’.",MISLEADING,hi,vishvas_news,https://www.vishvasnews.com/english/politics/fake-news-old-video-of-raid-on-law-firm-shared-as-raid-on-bjp-mps-house/,check
The viral post comprises of 4 photos along with a description,MISLEADING,hi,vishvas_news,https://www.vishvasnews.com/english/politics/fact-check-modi-apple-is-not-named-after-pm-narendra-modi/,"In our investigation, we found that the viral post is wrong. In fact, the name of this Australian company is indeed Modi Apple, but it is not named after the Indian Prime Minister. The company is actu"
"The description in the viral post says, “This is a joke around our judicial system? The NIA judge who released Aseemanand has joined BJP”.",MISLEADING,hi,vishvas_news,https://www.vishvasnews.com/english/politics/fact-check-judge-ravinder-reddy-who-acquitted-aseemanand-has-not-joined-bjp/,"In our investigation we found that Justice Ravinder Reddy, who acquitted Aseemanand in the Mecca Masjid blast case, has not joined BJP."
"The viral post claims that if we consume grapes after having medicine, it can take a toll on our life as it can be fatal.",FALSE,hi,vishvas_news,https://www.vishvasnews.com/english/viral/fact-check-viral-post-claiming-that-consuming-grapes-after-having-medicine-can-be-fatal-is-false/,The viral message claiming that consuming grapes after having medicine can be fatal is false.
The image is widely circulated on social media showing Kanhaiya Kumar standing on a campaign vehicle with a portrait of Afzal Guru on his vehicle.,FALSE,hi,vishvas_news,https://www.vishvasnews.com/english/politics/fact-check-image-of-kanhaiya-kumar-campaigning-behind-afzal-gurus-photo-is-fake/,The image of Kanhaiya Kumar campaigning behind Afzal Guru’s photo is fake.
The viral video claimed that a mixture of two spoons of amla oil and a small amount of coffee powder when applied to hair can convert white hair to black permanently. The video was supported with a caption that claimed that white hair can be permanently turned black from roots by following this remedy.,MISLEADING,hi,vishvas_news,https://www.vishvasnews.com/english/politics/fact-check-video-showing-remedy-for-turning-white-hair-to-black-permanently-in-half-an-hour-is-fake/,"No, the mixture of 2 spoons amla oil and coffee cannot turn white hair to black permanently in half an hour."
