claim,label,language,source,url,verdict_raw
: The viral photo shows Russian President Vladimir Putin reading the Bhagavad Gita.,MISLEADING,en,factly,https://factly.in/this-viral-photo-claiming-to-show-president-vladimir-putin-reading-the-bhagavad-gita-is-ai-generated,MISLEADING
"11 Indian Nuclear Scientists were mysteriously killed between 2009-2013, during the UPA government.",FALSE,en,factly,https://factly.in/government-has-clarified-in-2015-that-there-is-nothing-mysterious-in-the-unnatural-deaths-of-11-nuclear-scientists,FALSE
": The video shows a money-laden truck meeting with an accident in Uttar Pradesh, spilling cash on the road, with people rushing to collect it.",FALSE,en,factly,https://factly.in/this-video-showing-the-accident-of-a-money-laden-truck-in-uttar-pradesh-is-ai-generated,FALSE
: The video shows a tiger attacking and dragging a bike rider inside Madhav Tiger Reserve in Madhya Pradesh.,FALSE,en,factly,https://factly.in/this-viral-video-of-a-tiger-attacking-and-dragging-a-bike-rider-in-madhav-tiger-reserve-is-ai-generated,FALSE
A new ₹500 currency note bearing the image of Netaji Subhas Chandra Bose has been officially released.,FALSE,en,factly,https://factly.in/the-government-of-india-has-not-released-a-rs-500-note-featuring-the-image-of-netaji-subhas-chandra-bose,FALSE
Edward Crabtree was the civilian who bravely tackled and disarmed one of the shooters during the Bondi Beach terror attack in Sydney.,FALSE,en,factly,https://factly.in/the-civilian-who-disarmed-one-of-the-bondi-beach-shooters-is-ahmed-al-ahmed-not-edward-crabtree,FALSE
India received highest ever FDI worth $ 64.37 billion in FY 2018-19 because of the path breaking reforms by the Modi Government.,TRUE,en,factly,https://factly.in/fact-check-how-true-are-government-claims-about-fdi-flows,TRUE
Registration link to get free laptops being provided by the government.,FALSE,en,factly,https://factly.in/beware-of-bogus-websites-offering-free-laptops-smartphones-and-scholarships-in-the-name-of-government,FALSE
: The viral video shows a 75-year-old Muslim man forcibly marrying a 16-year-old girl.,FALSE,en,factly,https://factly.in/this-viral-video-showing-an-elderly-muslim-man-forcibly-marrying-a-minor-girl-is-scripted-and-does-not-depict-a-real-incident,FALSE
Bill that empowers Muslim women against triple talaq passed in Lok Sabha.,TRUE,en,factly,https://factly.in/fact-checking-government-claims-on-social-empowerment-of-women,TRUE
The photo shows thousands of people in New York protesting against US President Donald Trump in January 2026.,MISLEADING,en,factly,https://factly.in/a-2018-photo-of-the-march-for-our-lives-rally-in-washington-is-falsely-shared-as-a-january-2026-anti-trump-protest,MISLEADING
: The viral video shows Khan Sir accusing the NDA of vote theft in Bihar after the 2025 Assembly election results.,FALSE,en,factly,https://factly.in/this-video-of-khan-sir-claiming-that-votes-were-stolen-in-bihar-is-a-deepfake,FALSE
: The viral video shows a Garib Rath train catching fire on the Ludhiana–Delhi route on 1 January 2026.,MISLEADING,en,factly,https://factly.in/this-viral-video-of-an-amritsar-saharsa-express-coach-catching-fire-is-from-october-2025-not-january-2026,MISLEADING
: The viral photo shows a slipper being hurled at Tamil Nadu Chief Minister M.K. Stalin during a public event.,FALSE,en,factly,https://factly.in/this-viral-photo-claiming-that-a-slipper-was-hurled-at-tamil-nadu-chief-minister-m-k-stalin-during-a-public-event-is-digitally-manipulated,FALSE
": The viral video shows workers in Chinese factories spray a chemical on unripe fruits and vegetables, causing them to ripen instantly.",FALSE,en,factly,https://factly.in/this-video-claiming-to-show-fruits-and-vegetables-instantly-ripening-in-a-chinese-factory-after-a-substance-is-sprayed-is-ai-generated,FALSE
India will take over the presidency of United Nations Security Council for the first time.,MISLEADING,en,factly,https://factly.in/no-this-is-not-the-first-time-india-has-taken-over-as-president-of-the-united-nations-security-council,MISLEADING
: The viral video shows a newly married Hindu woman being kidnapped in Pakistan.,FALSE,en,factly,https://factly.in/this-viral-video-claiming-to-show-the-kidnapping-of-a-newly-married-hindu-woman-in-pakistan-is-scripted,FALSE
"Bharatmala Pariyojana: Phase 1: 5,35,000 crore rupees for expanding highways sector with multi-modal integration",TRUE,en,factly,https://factly.in/fact-checking-government-claims-on-bharatmala-setu-bharatam,TRUE
12.68 crore soil health cards have been distributed. This is the combined population of Germany and Spain.,TRUE,en,factly,https://factly.in/fact-checking-government-claims-about-schemes-for-farmers,UNVERIFIED
: The viral video shows Uttar Pradesh Police lathi-charging and arresting Muslims in UP.,FALSE,en,factly,https://factly.in/a-2022-police-lathi-charge-video-from-telangana-is-falsely-shared-as-footage-from-uttar-pradesh,FALSE
"The video shows Samajwadi Party legislators attacking BJP MLAs inside the Uttar Pradesh Assembly on 16 December 1993, soon after Mulayam Singh Yadav became Chief Minister.",FALSE,en,factly,https://factly.in/a-video-showing-a-clash-between-opposition-and-ruling-mlas-in-the-u-p-assembly-on-21-october-1997-during-a-confidence-vote-is-being-shared-with-false-claims,FALSE
: Viral video shows Iran launching a strike on an Israeli nuclear power plant amid the recent Iran–Israel escalation.,MISLEADING,en,factly,https://factly.in/an-old-and-unrelated-video-from-ukraine-is-being-falsely-shared-as-a-recent-iranian-strike-on-israels-nuclear-plant,MISLEADING
"During any medical emergency, flat tyre or in the need of fuel, you can call the phone number given on the other side of the receipt for assistance. So, do not throw the toll receipt.",MISLEADING,en,factly,https://factly.in/toll-receipts-are-not-mandatory-to-avail-the-emergency-services-on-the-national-highways,MISLEADING
Bombay High Court passed a judgement that anyone can call Sonia Gandhi as Antonio Maino.,FALSE,en,factly,https://factly.in/bombay-high-court-did-not-pass-any-judgement-that-states-anyone-can-call-sonia-gandhi-as-antonia-mino,FALSE
: The viral video shows a school teacher in Pakistan brutally beating a Christian girl for wearing a cross.,FALSE,en,factly,https://factly.in/a-video-of-a-father-assaulting-his-daughter-in-iraq-is-falsely-shared-as-a-pakistani-teacher-beating-a-christian-student,FALSE
