claim,label,language,source,url,verdict_raw
"An X user shared the photo and wrote, “Is it a university or a marriage agency? Who gave them the right to do moral policing?""",MISLEADING,en,boomlive,https://www.boomlive.in/fact-check/jamia-millia-ramzan-couple-nikah-claim-fake-notification-viral-30738,Jamia Milia
"Explore trending political fact-checks on elections, leaders, and viral claims. Stay informed with accurate news, photos, and videos on India's politics and global issues with BOOM.",MISLEADING,en,boomlive,https://www.boomlive.in/fact-check/politics,Fact Check
"Verified Instagram account BRICS News and multiple other accounts shared the video with the false claim it shows real scenes from Iran’s hypersonic missile striking Haifa,Israel.",MISLEADING,en,boomlive,https://www.boomlive.in/fact-check/viral-video-iran-hypersonic-missile-attack-haifa-israel-claim-fact-check-28967,Israel-Iran Conflict
"Several users on X shared the image along with a collage of the alleged attacker, linking him to AAP leader Gopal Italia and, by extension, to party chief Arvind Kejriwal. One user captioned it, claiming, ""The Man who slapped Rekha Gupta is a  friend of Gopal Italia, MLA from AAP Party & Very Close to Kejriwal.""",MISLEADING,en,boomlive,https://www.boomlive.in/fact-check/viral-photo-aap-leader-gopal-italia-delhi-chief-minister-rekha-gupta-attacker-claim-fact-check-29299,Delhi
"Verified X handle @EnkiduBornAgain shared the clip with an Urdu caption that roughly translates to, “A shocking incident has taken place. If Yogi Adityanath also speaks against the military generals, every fair minded person will stand with him. He is raising his voice in a way no one else can. Every true soldier of Imran Khan stands with you, Yogi.”",MISLEADING,en,boomlive,https://www.boomlive.in/fact-check/cm-yogi-demanding-resigns-from-narendra-modi-on-bangladesh-violence-is-fake-30362,Yogi Adityanath
Multiple social media posts shared two videos claiming that Firstpost’s managing editor Palki Sharma and NDTV managing editor Shiv Aroor reported that four senior Bihar NDA leaders were being investigated for financing Pakistan’s PTI.,MISLEADING,en,boomlive,https://www.boomlive.in/fact-check/false-claims-indian-journalists-report-bihar-leaders-funding-pakistan-pti-30073,Bihar Elections
"Video shows Delhi CM Rekha Gupta saying, ""They had been hacking EVMs for 70 years, but when we did it, suddenly it became a problem.""",MISLEADING,en,boomlive,https://www.boomlive.in/fact-check/fake-news-viral-video-delhi-cm-rekha-gupta-evm-rigging-admission-misleading-factcheck-29557,Rekha Gupta
Video shows Stewart ridiculing Trump’s tariff policy toward India,MISLEADING,en,boomlive,https://www.boomlive.in/fact-check/fake-news-jon-stewart-mocking-trump-taj-mahal-samosas-india-tariffs-ai-voice-over-factcheck-29394,Donald Trump
The viral video was posted on an X account,MISLEADING,en,boomlive,https://www.boomlive.in/fact-check/bondi-beach-attack-australian-pm-anthony-albanese-cancel-visas-of-pakistanis-ai-generated-video-viral-fact-check-30273,AI Generated
Photo shows an anti-India protester who was run over by an unknown truck driver in Bangladesh during a recent protest,MISLEADING,en,boomlive,https://www.boomlive.in/fact-check/viral-photo-bangladesh-anti-india-protest-truck-unknown-run-over-claim-fact-check-30359,Bangladesh
